file,width,height,bytes
assets/background/bg_clean.webp,941,1672,27750
assets/background/bg_finish.webp,941,1672,95216
assets/background/bg_game.webp,941,1672,183752
assets/background/bg_material.webp,941,1672,85824
assets/background/bg_objectives.webp,941,1672,112678
assets/background/bg_opening.webp,941,1672,107194
assets/background/bg_quiz.webp,941,1672,73172
assets/background/bg_result.webp,941,1672,101646
assets/background/bg_roadmap.webp,941,1672,127878
assets/health/anemia.webp,1200,1200,97506
assets/health/clotting_process.webp,1200,900,189612
assets/health/coronary_heart_disease.webp,1200,1200,147898
assets/health/healthy_habits.webp,1200,900,218516
assets/health/hemophilia.webp,1200,1200,205382
assets/health/hypertension.webp,1200,1200,179560
assets/health/leukemia.webp,1200,1200,165606
assets/icons/menu/menu_game.webp,512,489,30814
assets/icons/menu/menu_home.webp,512,489,23464
assets/icons/menu/menu_material.webp,474,512,26944
assets/icons/menu/menu_missions.webp,492,512,32794
assets/icons/menu/menu_objectives.webp,512,511,33564
assets/icons/menu/menu_quiz.webp,512,504,30694
assets/icons/navigation/back.webp,512,509,30930
assets/icons/navigation/home.webp,512,494,27002
assets/icons/navigation/menu.webp,498,512,27866
assets/icons/navigation/next.webp,468,512,28772
assets/icons/progress/checkpoint.webp,507,512,37644
assets/icons/progress/finish.webp,427,512,36478
assets/icons/progress/status_current.webp,498,512,31366
assets/icons/progress/status_done.webp,494,512,31244
assets/icons/progress/status_locked.webp,496,512,19306
assets/icons/progress/status_open.webp,512,486,23654
assets/icons/quiz/quiz_match.webp,986,1000,140384
assets/icons/quiz/quiz_mcq.webp,934,1000,57014
assets/icons/quiz/quiz_multiselect.webp,971,1000,61498
assets/icons/quiz/quiz_sequence.webp,1000,996,86018
assets/icons/quiz/quiz_short.webp,1000,976,58038
assets/icons/quiz/quiz_truefalse.webp,1000,948,60944
assets/mascots/eri_reading.webp,423,380,32700
assets/mascots/eri_run.webp,426,380,29968
assets/mascots/eri_success.webp,345,377,29672
assets/mascots/eri_wave.webp,398,366,31916
assets/mascots/leo_defense.webp,432,390,42172
assets/mascots/leo_magnify.webp,418,390,33980
assets/mascots/leo_shield.webp,385,390,31976
assets/mascots/leo_teacher.webp,386,390,34504
assets/mascots/trom_alert.webp,432,390,37170
assets/mascots/trom_bandage.webp,432,356,33188
assets/mascots/trom_clot.webp,420,372,38820
assets/mascots/trom_wave.webp,421,390,33152
assets/science/blood_components.webp,1400,1050,454606
assets/science/double_circulation.webp,1327,1086,308320
assets/science/erythrocytes.webp,1253,1185,248352
assets/science/heart_four_chambers.webp,1254,1203,236172
assets/science/heart_overview.webp,1156,1241,286546
assets/science/leukocyte.webp,1254,1190,345926
assets/science/platelets_scientific.webp,1213,1131,252174
assets/science/pulmonary_circulation.webp,1400,870,189748
assets/science/quiz_bloodcells.webp,1000,900,255364
assets/science/quiz_case_anemia.webp,1000,975,153158
assets/science/quiz_heart.webp,935,1000,195466
assets/science/quiz_vessels.webp,1000,948,275800
assets/science/systemic_circulation.webp,1400,1037,311078
assets/science/vessels_comparison.webp,1400,1050,349858
